15:05:57.732 Connecting to WIFLEN ...
15:05:59.162 Connected
15:06:00.990 31.76 ,912.2433 ,47.84 ,33.45 ,911.6050 ,50.96
15:06:01.053 31.76 ,912.2433 ,47.84 ,33.44 ,911.8013 ,52.74
15:06:01.060 31.77 ,912.3613 ,49.93 ,33.44 ,911.8013 ,52.74
15:06:01.074 31.77 ,912.3613 ,49.93 ,33.44 ,911.8013 ,52.74
15:06:01.138 31.77 ,912.3613 ,49.93 ,33.44 ,911.8013 ,52.74
15:06:01.146 31.77 ,912.3613 ,49.93 ,33.43 ,911.8591 ,55.21
15:06:01.159 31.83 ,912.3525 ,53.23 ,33.43 ,911.8591 ,55.21
15:06:01.223 31.83 ,912.3525 ,53.23 ,33.43 ,911.8591 ,55.21
15:06:01.235 31.83 ,912.3525 ,53.23 ,33.43 ,911.9802 ,58.09
15:06:01.245 32.00 ,912.4283 ,56.60 ,33.45 ,911.9802 ,58.09
15:06:01.321 32.00 ,912.4283 ,56.60 ,33.45 ,911.9802 ,58.09
15:06:01.329 32.00 ,912.4283 ,56.60 ,33.45 ,911.9540 ,60.68
15:06:01.402 32.21 ,912.4231 ,59.67 ,33.46 ,911.9540 ,60.68
15:06:01.408 32.21 ,912.4231 ,59.67 ,33.46 ,911.9540 ,60.68
15:06:01.497 32.21 ,912.4231 ,59.67 ,33.49 ,911.9336 ,62.95
15:06:01.502 32.47 ,912.3967 ,62.28 ,33.49 ,911.9336 ,62.95
15:06:01.563 32.47 ,912.3967 ,64.59 ,33.53 ,912.0101 ,64.95
15:06:01.571 32.70 ,912.4553 ,64.59 ,33.53 ,912.0101 ,64.95
15:06:01.574 32.70 ,912.4553 ,64.59 ,33.53 ,912.0101 ,64.95
15:06:01.648 32.70 ,912.4553 ,64.59 ,33.56 ,912.0494 ,66.66
15:06:01.659 32.92 ,912.5092 ,66.58 ,33.56 ,912.0494 ,66.66
15:06:01.661 32.92 ,912.5092 ,66.58 ,33.56 ,912.0494 ,66.66
15:06:01.677 32.92 ,912.5092 ,66.58 ,33.56 ,912.0494 ,66.66
15:06:01.824 32.92 ,912.5092 ,66.58 ,33.60 ,912.1328 ,68.29
15:06:01.826 33.11 ,912.6119 ,69.86 ,33.64 ,912.2176 ,69.67
15:06:01.843 33.30 ,912.6345 ,69.86 ,33.64 ,912.2176 ,69.67
15:06:01.908 33.30 ,912.6345 ,69.86 ,33.64 ,912.2176 ,69.67
15:06:01.921 33.30 ,912.6345 ,69.86 ,33.64 ,912.2274 ,70.97
15:06:01.926 33.48 ,912.6367 ,71.12 ,33.68 ,912.2274 ,70.97
15:06:01.991 33.48 ,912.6367 ,71.12 ,33.68 ,912.2274 ,70.97
15:06:02.002 33.48 ,912.6367 ,71.12 ,33.68 ,912.2274 ,70.97
15:06:02.017 33.65 ,912.5668 ,72.29 ,33.73 ,912.1245 ,71.77
15:06:02.083 33.65 ,912.5668 ,72.29 ,33.73 ,912.1245 ,71.77
15:06:02.092 33.65 ,912.5668 ,72.29 ,33.73 ,912.1245 ,72.59
15:06:02.189 33.80 ,912.6217 ,73.21 ,33.77 ,912.1272 ,72.59
15:06:02.254 33.80 ,912.6217 ,73.21 ,33.77 ,912.1272 ,72.59
15:06:02.263 33.80 ,912.6217 ,73.21 ,33.77 ,912.0787 ,73.32
15:06:02.277 33.93 ,912.5894 ,74.00 ,33.85 ,912.1235 ,74.00
15:06:02.342 34.04 ,912.6161 ,74.68 ,33.85 ,912.1235 ,74.00
15:06:02.347 34.04 ,912.6161 ,74.68 ,33.85 ,912.1235 ,74.00
15:06:02.420 34.04 ,912.6161 ,74.68 ,33.85 ,912.1235 ,74.00
15:06:02.426 34.13 ,912.5889 ,75.25 ,33.90 ,912.0908 ,74.57
15:06:02.434 34.13 ,912.5889 ,75.25 ,33.90 ,912.0908 ,74.57
15:06:02.452 34.13 ,912.5889 ,75.25 ,33.90 ,912.0908 ,74.57
15:06:02.512 34.13 ,912.5889 ,75.25 ,33.90 ,912.0908 ,74.57
15:06:02.519 34.22 ,912.5723 ,75.73 ,33.94 ,912.1005 ,74.98
15:06:02.534 34.22 ,912.5723 ,75.73 ,33.94 ,912.1005 ,74.98
15:06:02.596 34.22 ,912.5723 ,75.73 ,33.94 ,912.1005 ,74.98
15:06:02.605 34.22 ,912.5723 ,75.73 ,33.94 ,912.0889 ,75.41
15:06:02.618 34.31 ,912.5837 ,76.23 ,33.98 ,912.0889 ,75.41
15:06:02.703 34.31 ,912.5837 ,76.23 ,33.98 ,912.0889 ,75.41
15:06:02.783 34.31 ,912.5837 ,76.23 ,33.98 ,911.9589 ,75.91
15:06:02.851 34.44 ,912.5514 ,76.89 ,34.05 ,911.9589 ,75.91
15:06:02.859 34.44 ,912.5514 ,76.89 ,34.05 ,911.9589 ,75.91
15:06:02.864 34.44 ,912.5514 ,76.89 ,34.05 ,911.9589 ,76.11
15:06:02.934 34.48 ,912.4340 ,77.12 ,34.07 ,911.7751 ,76.11
15:06:02.945 34.48 ,912.4340 ,77.12 ,34.07 ,911.7751 ,76.11
15:06:02.951 34.48 ,912.4340 ,77.12 ,34.07 ,911.7751 ,76.11
15:06:03.105 34.51 ,912.2403 ,76.95 ,34.10 ,911.5875 ,75.70
15:06:03.112 34.51 ,912.2403 ,76.95 ,34.10 ,911.5875 ,75.70
15:06:03.119 34.51 ,912.2403 ,74.96 ,34.10 ,911.5211 ,73.97
15:06:03.134 34.48 ,912.1528 ,74.96 ,34.10 ,911.5211 ,73.97
15:06:03.207 34.48 ,912.1528 ,72.79 ,34.10 ,911.5211 ,73.97
15:06:03.214 34.25 ,912.0783 ,72.78 ,34.07 ,911.4835 ,71.34
15:06:03.278 34.25 ,912.0783 ,72.78 ,34.07 ,911.4835 ,71.34
15:06:03.286 34.25 ,912.0783 ,72.78 ,34.07 ,911.4835 ,71.34
15:06:03.290 33.80 ,912.0617 ,70.63 ,34.00 ,911.4417 ,69.07
15:06:03.364 33.80 ,912.0617 ,70.63 ,34.00 ,911.4417 ,69.07
15:06:03.373 33.80 ,912.0617 ,70.63 ,34.00 ,911.4417 ,69.07
15:06:03.469 33.29 ,912.0289 ,68.43 ,33.92 ,911.4579 ,66.73
15:06:03.474 33.29 ,912.0289 ,68.43 ,33.92 ,911.4579 ,66.73
15:06:03.542 33.29 ,912.0289 ,68.43 ,33.92 ,911.4579 ,64.24
15:06:03.642 32.44 ,911.9752 ,64.49 ,33.78 ,911.4748 ,62.56
15:06:03.652 32.44 ,911.9752 ,64.49 ,33.78 ,911.4748 ,62.56
15:06:03.713 32.44 ,911.9752 ,64.49 ,33.78 ,911.4825 ,60.54
15:06:03.726 32.17 ,911.8903 ,62.58 ,33.73 ,911.4825 ,60.54
15:06:03.792 32.02 ,911.9533 ,60.80 ,33.73 ,911.4825 ,60.54
15:06:03.799 32.02 ,911.9533 ,60.80 ,33.68 ,911.4308 ,58.55
15:06:03.811 32.02 ,911.9533 ,60.80 ,33.68 ,911.4308 ,58.55
15:06:03.878 32.02 ,911.9533 ,60.80 ,33.68 ,911.4308 ,58.55
15:06:03.890 31.93 ,911.9673 ,59.09 ,33.64 ,911.4705 ,57.40
