15:54:30.926 Connecting to WIFLEN ...
15:54:31.630 Connected
15:54:31.666 35.60 ,908.2145 ,76.30 ,38.37 ,908.2610 ,67.93
15:54:31.681 35.60 ,908.2145 ,76.30 ,38.37 ,908.2610 ,67.93
15:54:31.736 35.63 ,908.2489 ,76.49 ,38.37 ,908.2610 ,67.93
15:54:31.748 35.63 ,908.2489 ,76.49 ,38.44 ,908.2634 ,68.70
15:54:31.783 35.63 ,908.2489 ,76.49 ,38.44 ,908.2634 ,68.70
15:54:31.827 35.65 ,908.2686 ,76.83 ,38.44 ,908.2634 ,68.70
15:54:31.836 35.65 ,908.2686 ,76.83 ,38.44 ,908.2634 ,69.60
15:54:31.871 35.65 ,908.2686 ,76.83 ,38.51 ,908.2653 ,69.60
15:54:31.912 35.65 ,908.2686 ,76.83 ,38.51 ,908.2653 ,69.60
15:54:31.920 35.67 ,908.2563 ,77.13 ,38.51 ,908.2742 ,70.13
15:54:31.953 35.67 ,908.2563 ,77.13 ,38.58 ,908.2742 ,70.13
15:54:32.009 35.67 ,908.2563 ,77.13 ,38.58 ,908.2742 ,70.13
15:54:32.013 35.69 ,908.2319 ,77.35 ,38.63 ,908.2795 ,70.57
15:54:32.046 35.69 ,908.2319 ,77.35 ,38.63 ,908.2795 ,70.57
15:54:32.084 35.69 ,908.2319 ,77.35 ,38.63 ,908.2795 ,70.57
15:54:32.091 35.69 ,908.2319 ,77.54 ,38.63 ,908.2795 ,70.57
15:54:32.128 35.71 ,908.2356 ,77.54 ,38.68 ,908.2742 ,70.84
15:54:32.169 35.71 ,908.2356 ,77.54 ,38.68 ,908.2742 ,70.84
15:54:32.175 35.71 ,908.2356 ,77.72 ,38.68 ,908.2742 ,70.84
15:54:32.211 35.73 ,908.2180 ,77.72 ,38.68 ,908.2742 ,70.84
15:54:32.256 35.73 ,908.2180 ,77.72 ,38.71 ,908.2761 ,71.04
15:54:32.261 35.73 ,908.2180 ,77.82 ,38.71 ,908.2761 ,71.04
15:54:32.297 35.74 ,908.2291 ,77.82 ,38.71 ,908.2761 ,71.04
15:54:32.388 35.74 ,908.2291 ,77.82 ,38.71 ,908.2761 ,71.04
15:54:32.391 35.74 ,908.2291 ,77.73 ,38.74 ,908.1812 ,70.55
15:54:32.402 35.75 ,908.1562 ,77.73 ,38.74 ,908.1812 ,70.55
15:54:32.436 35.75 ,908.1562 ,77.73 ,38.75 ,908.0352 ,69.06
15:54:32.478 35.75 ,908.1562 ,77.73 ,38.75 ,908.0352 ,69.06
