14:55:05.616 32.49 ,912.2726 ,62.81 ,32.05 ,911.2292 ,42.25
14:55:05.643 32.49 ,912.2726 ,62.81 ,32.05 ,911.2292 ,42.25
14:55:05.666 32.49 ,912.2726 ,62.81 ,32.07 ,911.1993 ,42.56
14:55:05.666 32.53 ,912.2847 ,64.78 ,32.07 ,911.1993 ,42.56
14:55:05.734 32.53 ,912.2847 ,64.78 ,32.07 ,911.1993 ,42.56
14:55:05.755 32.53 ,912.2847 ,64.78 ,32.07 ,911.1993 ,42.83
14:55:05.755 32.53 ,912.2847 ,64.78 ,32.09 ,911.1886 ,42.83
14:55:05.778 32.57 ,912.2946 ,66.29 ,32.09 ,911.1886 ,42.83
14:55:05.799 32.57 ,912.2946 ,66.29 ,32.09 ,911.1886 ,42.83
14:55:05.820 32.57 ,912.2946 ,66.29 ,32.09 ,911.1886 ,42.83
14:55:05.820 32.57 ,912.2946 ,66.29 ,32.09 ,911.1886 ,42.83
14:55:05.846 32.57 ,912.2946 ,66.29 ,32.11 ,911.2242 ,43.18
14:55:05.867 32.57 ,912.2946 ,66.29 ,32.11 ,911.2242 ,43.18
14:55:05.867 32.61 ,912.2725 ,67.63 ,32.11 ,911.2242 ,43.18
14:55:05.887 32.61 ,912.2725 ,67.63 ,32.11 ,911.2242 ,43.18
14:55:05.909 32.61 ,912.2725 ,67.63 ,32.11 ,911.2242 ,43.18
14:55:05.932 32.61 ,912.2725 ,67.63 ,32.11 ,911.2242 ,43.18
14:55:05.953 32.61 ,912.2725 ,67.63 ,32.14 ,911.2028 ,43.50
14:55:05.978 32.61 ,912.2725 ,67.63 ,32.14 ,911.2028 ,43.50
14:55:05.978 32.64 ,912.2735 ,68.49 ,32.14 ,911.2028 ,43.50
14:55:06.003 32.64 ,912.2735 ,68.49 ,32.14 ,911.2028 ,43.50
14:55:06.029 32.64 ,912.2735 ,68.49 ,32.14 ,911.2028 ,43.50
14:55:06.029 32.64 ,912.2735 ,68.49 ,32.14 ,911.1727 ,43.79
